street,school,loc
Mill Hill Terrace O,Mill Hill School, 101-999999 010-32
Mill Plain Road A,Fairfield Ludlowe High School, 1-1974 008-32
Mill Plain Road E,Fairfield Woods Middle School, 1976-2024 003-32
Mill Plain Road E,Fairfield Ludlowe High School, 2026-2274 008-32
Mill Plain Road E,St Pius School, 2276-2598 002-34
Mill Plain Road O,Fairfield Ludlowe High School, 1975-2599 008-32
Mill River Road A,Fairfield Ludlowe High School, 1-999999 008-32
Millard Street A,Sherman School, 1-999999 009-32
Millbank Road A,Dwight School, 1-999999 001-34
Miller Street A,Fairfield Ludlowe High School, 1-999999 008-32
Millspaugh Drive A,Fairfield Ludlowe High School, 1-999999 008-32
Milton Street A,Sherman School, 1-999999 009-32
Mine Hill Road A,Dwight School, 1-999999 001-34
Miro Street E,Fairfield Warde High School, 2-60 005-33
Miro Street E,Fairfield Woods Middle School, 68-250 003-32
Miro Street O,Fairfield Woods Middle School, 7-191 003-32
Misty Wood Lane A,Dwight School, 1-999999 001-34
Mohican Hill Road A,St Pius School, 1-999999 002-34
Mona Terrace A,Sherman School, 1-999999 009-32
Montauk Street A,Fairfield Warde High School, 1-999999 005-33
Moody Avenue A,Fairfield Warde High School, 1-999999 005-33
Morehouse Drive A,St Pius School, 1-280 002-34
Morehouse Drive A,St Pius School, 320-320 002-34
Morehouse Highway E,Stratfield School, 2-390 004-33
Morehouse Highway E,Fairfield Woods Middle School, 392-700 003-32
Morehouse Highway E,St Pius School, 702-1798 002-34
Morehouse Highway E,Dwight School, 1800-3698 001-34
Morehouse Highway O,Stratfield School, 1-309 004-33
Morehouse Highway O,Fairfield Woods Middle School, 311-979 003-32
Morehouse Highway O,St Pius School, 981-1729 002-34
Morehouse Highway O,Dwight School, 1731-3699 001-34
Morehouse Lane A,Mill Hill School, 1-199 010-32
Morehouse Lane A,Dwight School, 201-898 001-34
Moritz Place A,Fairfield Woods Middle School, 1-999999 003-32
Morning Dew Circle A,Dwight School, 1-999999 001-34
Mountain Laurel Road A,St Pius School, 1-999999 002-34
Mulberry Hill Road A,Dwight School, 1-999999 001-34
Myren Street A,Sherman School, 1-999999 009-32
Narrow Street A,Sherman School, 1-999999 009-32
Nathan Hale Street A,McKinley School, 1-999999 006-33
Nelson Place A,Fairfield Warde High School, 1-999999 005-33
Nepas Road A,St Pius School, 1-999999 002-34
New England Avenue A,McKinley School, 1-330 006-33
New England Avenue E,Holland Hill School, 332-398 007-33
New England Avenue O,McKinley School, 331-399 006-33
New Hampshire Avenue A,McKinley School, 1-999999 006-33
New Street A,Fairfield Warde High School, 1-999999 005-33
Newell Place A,Sherman School, 1-999999 009-32
Newman Place A,Fairfield Warde High School, 1-999999 005-33
Newport Place A,Fairfield Woods Middle School, 1-999999 003-32
Newton Street A,Holland Hill School, 1-999999 007-33
Nichols Avenue A,Fairfield Warde High School, 1-999999 005-33
Nichols Street E,Sherman School, 50-188 009-32
Nichols Street E,Sherman School, 208-240 009-32
Nichols Street O,Sherman School, 43-187 009-32
Nichols Street O,Sherman School, 209-249 009-32
Nonopoge Road A,St Pius School, 1-999999 002-34
Norcliff Lane A,Sherman School, 1-999999 009-32
Nordstrand Avenue A,Fairfield Warde High School, 1-999999 005-33
North Benson Road E,Holland Hill School, 2-1220 007-33
